ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2024-10-07T08:00:00.018923254Z,2024-10-07T08:00:00.018756585Z,10,2,16244,A,N,0,233.18,858,130,166669,274585,233.18,,858,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.020626374Z,2024-10-07T08:00:00.020456545Z,10,2,16244,A,A,0,253.28,399,130,169829,274683,233.18,253.28,858,399,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.020672253Z,2024-10-07T08:00:00.020505237Z,10,2,16244,A,B,0,248.18,399,130,167016,274685,248.18,253.28,399,399,1,1,233.18,,858,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.033772155Z,2024-10-07T08:00:00.033534715Z,10,2,16244,A,B,2,223.23,200,128,237440,274891,248.18,253.28,399,399,1,1,233.18,,858,0,1,0,223.23,,200,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.033772155Z,2024-10-07T08:00:00.033537725Z,10,2,17709,A,N,0,126.31,801,128,234430,274895,,126.31,0,801,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2024-10-07T08:00:00.033871870Z,2024-10-07T08:00:00.033609869Z,10,2,17709,A,B,0,123.77,801,128,262001,274954,123.77,126.31,801,801,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2024-10-07T08:00:00.034203676Z,2024-10-07T08:00:00.033950930Z,10,2,9155,A,N,0,211.35,2,128,252746,275120,211.35,,2,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2024-10-07T08:00:00.034659757Z,2024-10-07T08:00:00.034490779Z,10,2,38,A,N,0,217.0,100,130,168978,275205,217.0,,100,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.051727024Z,2024-10-07T08:00:00.051560933Z,10,2,9155,A,B,1,208.83,473,130,166091,275520,211.35,,2,0,1,0,208.83,,473,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2024-10-07T08:00:00.051744505Z,2024-10-07T08:00:00.051578011Z,10,2,9155,A,A,0,213.13,473,130,166494,275523,211.35,213.13,2,473,1,1,208.83,,473,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2024-10-07T08:00:00.122394510Z,2024-10-07T08:00:00.122167575Z,10,2,9155,A,B,1,209.11,100,128,226935,275860,211.35,213.13,2,473,1,1,209.11,,100,0,1,0,208.83,,473,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2024-10-07T08:00:00.136104359Z,2024-10-07T08:00:00.135936518Z,10,2,38,A,B,0,223.0,4,130,167841,276126,223.0,,4,0,1,0,217.0,,100,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.137050400Z,2024-10-07T08:00:00.136872416Z,10,2,38,A,A,0,234.0,5,130,177984,276397,223.0,234.0,4,5,1,1,217.0,,100,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.158019031Z,2024-10-07T08:00:00.157849503Z,10,2,780,A,N,0,317.39,25,130,169528,276779,317.39,,25,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2024-10-07T08:00:00.158387010Z,2024-10-07T08:00:00.158218023Z,10,2,780,A,A,0,322.32,25,130,168987,276805,317.39,322.32,25,25,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2024-10-07T08:00:00.161046669Z,2024-10-07T08:00:00.160879274Z,10,2,9155,A,A,0,212.96,100,130,167395,277146,211.35,212.96,2,100,1,1,209.11,213.13,100,473,1,1,208.83,,473,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2024-10-07T08:00:00.163676471Z,2024-10-07T08:00:00.163510762Z,10,2,16244,A,B,1,239.0,10,130,165709,277321,248.18,253.28,399,399,1,1,239.0,,10,0,1,0,233.18,,858,0,1,0,223.23,,200,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.165402977Z,2024-10-07T08:00:00.165237227Z,10,2,16244,A,B,4,190.0,12,130,165750,277401,248.18,253.28,399,399,1,1,239.0,,10,0,1,0,233.18,,858,0,1,0,223.23,,200,0,1,0,190.0,,12,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.166003473Z,2024-10-07T08:00:00.165832979Z,10,2,16244,A,A,1,318.88,23,130,170494,277407,248.18,253.28,399,399,1,1,239.0,318.88,10,23,1,1,233.18,,858,0,1,0,223.23,,200,0,1,0,190.0,,12,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.166188480Z,2024-10-07T08:00:00.166022983Z,10,2,16244,A,B,2,236.0,20,130,165497,277413,248.18,253.28,399,399,1,1,239.0,318.88,10,23,1,1,236.0,,20,0,1,0,233.18,,858,0,1,0,223.23,,200,0,1,0,190.0,,12,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.167431870Z,2024-10-07T08:00:00.167266307Z,10,2,16244,A,A,1,295.0,10,130,165563,277428,248.18,253.28,399,399,1,1,239.0,295.0,10,10,1,1,236.0,318.88,20,23,1,1,233.18,,858,0,1,0,223.23,,200,0,1,0,190.0,,12,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.167847967Z,2024-10-07T08:00:00.167682250Z,10,2,16244,A,B,5,205.0,10,130,165717,277432,248.18,253.28,399,399,1,1,239.0,295.0,10,10,1,1,236.0,318.88,20,23,1,1,233.18,,858,0,1,0,223.23,,200,0,1,0,205.0,,10,0,1,0,190.0,,12,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.168043735Z,2024-10-07T08:00:00.167877741Z,10,2,16244,A,A,1,279.9,60,130,165994,277433,248.18,253.28,399,399,1,1,239.0,279.9,10,60,1,1,236.0,295.0,20,10,1,1,233.18,318.88,858,23,1,1,223.23,,200,0,1,0,205.0,,10,0,1,0,190.0,,12,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.168733266Z,2024-10-07T08:00:00.168567300Z,10,2,16244,A,B,0,249.96,1,130,165966,277445,249.96,253.28,1,399,1,1,248.18,279.9,399,60,1,1,239.0,295.0,10,10,1,1,236.0,318.88,20,23,1,1,233.18,,858,0,1,0,223.23,,200,0,1,0,205.0,,10,0,1,0,190.0,,12,0,1,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.169170438Z,2024-10-07T08:00:00.169003546Z,10,2,16244,A,B,2,245.0,14,130,166892,277452,249.96,253.28,1,399,1,1,248.18,279.9,399,60,1,1,245.0,295.0,14,10,1,1,239.0,318.88,10,23,1,1,236.0,,20,0,1,0,233.18,,858,0,1,0,223.23,,200,0,1,0,205.0,,10,0,1,0,190.0,,12,0,1,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.169327702Z,2024-10-07T08:00:00.169161959Z,10,2,16244,A,B,7,215.0,10,130,165743,277455,249.96,253.28,1,399,1,1,248.18,279.9,399,60,1,1,245.0,295.0,14,10,1,1,239.0,318.88,10,23,1,1,236.0,,20,0,1,0,233.18,,858,0,1,0,223.23,,200,0,1,0,215.0,,10,0,1,0,205.0,,10,0,1,0,190.0,,12,0,1,0,TSLA
2024-10-07T08:00:00.170090781Z,2024-10-07T08:00:00.169924296Z,10,2,16244,A,B,9,200.0,10,130,166485,277466,249.96,253.28,1,399,1,1,248.18,279.9,399,60,1,1,245.0,295.0,14,10,1,1,239.0,318.88,10,23,1,1,236.0,,20,0,1,0,233.18,,858,0,1,0,223.23,,200,0,1,0,215.0,,10,0,1,0,205.0,,10,0,1,0,200.0,,10,0,1,0,TSLA
2024-10-07T08:00:00.170355028Z,2024-10-07T08:00:00.170188978Z,10,2,16244,A,A,1,264.0,45,130,166050,277468,249.96,253.28,1,399,1,1,248.18,264.0,399,45,1,1,245.0,279.9,14,60,1,1,239.0,295.0,10,10,1,1,236.0,318.88,20,23,1,1,233.18,,858,0,1,0,223.23,,200,0,1,0,215.0,,10,0,1,0,205.0,,10,0,1,0,200.0,,10,0,1,0,TSLA
2024-10-07T08:00:00.170604573Z,2024-10-07T08:00:00.170438524Z,10,2,16244,A,A,2,275.0,3,130,166049,277469,249.96,253.28,1,399,1,1,248.18,264.0,399,45,1,1,245.0,275.0,14,3,1,1,239.0,279.9,10,60,1,1,236.0,295.0,20,10,1,1,233.18,318.88,858,23,1,1,223.23,,200,0,1,0,215.0,,10,0,1,0,205.0,,10,0,1,0,200.0,,10,0,1,0,TSLA
2024-10-07T08:00:00.170919970Z,2024-10-07T08:00:00.170753418Z,10,2,16244,A,A,5,300.0,1,130,166552,277473,249.96,253.28,1,399,1,1,248.18,264.0,399,45,1,1,245.0,275.0,14,3,1,1,239.0,279.9,10,60,1,1,236.0,295.0,20,10,1,1,233.18,300.0,858,1,1,1,223.23,318.88,200,23,1,1,215.0,,10,0,1,0,205.0,,10,0,1,0,200.0,,10,0,1,0,TSLA
2024-10-07T08:00:00.171218082Z,2024-10-07T08:00:00.171052564Z,10,2,16244,A,A,1,255.75,10,130,165518,277477,249.96,253.28,1,399,1,1,248.18,255.75,399,10,1,1,245.0,264.0,14,45,1,1,239.0,275.0,10,3,1,1,236.0,279.9,20,60,1,1,233.18,295.0,858,10,1,1,223.23,300.0,200,1,1,1,215.0,318.88,10,23,1,1,205.0,,10,0,1,0,200.0,,10,0,1,0,TSLA
2024-10-07T08:00:00.172283909Z,2024-10-07T08:00:00.172115709Z,10,2,16244,A,A,3,274.0,50,130,168200,277495,249.96,253.28,1,399,1,1,248.18,255.75,399,10,1,1,245.0,264.0,14,45,1,1,239.0,274.0,10,50,1,1,236.0,275.0,20,3,1,1,233.18,279.9,858,60,1,1,223.23,295.0,200,10,1,1,215.0,300.0,10,1,1,1,205.0,318.88,10,23,1,1,200.0,,10,0,1,0,TSLA
2024-10-07T08:00:00.174859996Z,2024-10-07T08:00:00.174694134Z,10,2,38,A,B,2,10.0,1,130,165862,277530,223.0,234.0,4,5,1,1,217.0,,100,0,1,0,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.175697783Z,2024-10-07T08:00:00.175532025Z,10,2,38,A,A,0,229.79,1,130,165758,277540,223.0,229.79,4,1,1,1,217.0,234.0,100,5,1,1,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.176925997Z,2024-10-07T08:00:00.176760148Z,10,2,38,A,B,2,167.0,2,130,165849,277555,223.0,229.79,4,1,1,1,217.0,234.0,100,5,1,1,167.0,,2,0,1,0,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.178060351Z,2024-10-07T08:00:00.177894393Z,10,2,38,A,B,2,193.2,6,130,165958,277562,223.0,229.79,4,1,1,1,217.0,234.0,100,5,1,1,193.2,,6,0,1,0,167.0,,2,0,1,0,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.178170771Z,2024-10-07T08:00:00.178004745Z,10,2,38,A,B,2,200.0,1,130,166026,277569,223.0,229.79,4,1,1,1,217.0,234.0,100,5,1,1,200.0,,1,0,1,0,193.2,,6,0,1,0,167.0,,2,0,1,0,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.179172277Z,2024-10-07T08:00:00.179005891Z,10,2,38,A,B,4,190.0,1,130,166386,277584,223.0,229.79,4,1,1,1,217.0,234.0,100,5,1,1,200.0,,1,0,1,0,193.2,,6,0,1,0,190.0,,1,0,1,0,167.0,,2,0,1,0,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.180292287Z,2024-10-07T08:00:00.180126599Z,10,2,38,A,A,2,235.0,13,130,165688,277602,223.0,229.79,4,1,1,1,217.0,234.0,100,5,1,1,200.0,235.0,1,13,1,1,193.2,,6,0,1,0,190.0,,1,0,1,0,167.0,,2,0,1,0,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.183196270Z,2024-10-07T08:00:00.183030090Z,10,2,38,A,A,0,226.79,2,130,166180,277623,223.0,226.79,4,2,1,1,217.0,229.79,100,1,1,1,200.0,234.0,1,5,1,1,193.2,235.0,6,13,1,1,190.0,,1,0,1,0,167.0,,2,0,1,0,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.195142800Z,2024-10-07T08:00:00.194977016Z,10,2,16244,A,B,0,250.54,22,130,165784,277789,250.54,253.28,22,399,1,1,249.96,255.75,1,10,1,1,248.18,264.0,399,45,1,1,245.0,274.0,14,50,1,1,239.0,275.0,10,3,1,1,236.0,279.9,20,60,1,1,233.18,295.0,858,10,1,1,223.23,300.0,200,1,1,1,215.0,318.88,10,23,1,1,205.0,,10,0,1,0,TSLA
2024-10-07T08:00:00.195414006Z,2024-10-07T08:00:00.195248520Z,10,2,16244,A,A,0,250.91,19,130,165486,277797,250.54,250.91,22,19,1,1,249.96,253.28,1,399,1,1,248.18,255.75,399,10,1,1,245.0,264.0,14,45,1,1,239.0,274.0,10,50,1,1,236.0,275.0,20,3,1,1,233.18,279.9,858,60,1,1,223.23,295.0,200,10,1,1,215.0,300.0,10,1,1,1,205.0,318.88,10,23,1,1,TSLA
2024-10-07T08:00:00.195764334Z,2024-10-07T08:00:00.195597310Z,10,2,17709,A,B,0,124.87,16,130,167024,277803,124.87,126.31,16,801,1,1,123.77,,801,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2024-10-07T08:00:00.195921223Z,2024-10-07T08:00:00.195754791Z,10,2,17709,A,A,0,125.62,16,130,166432,277807,124.87,125.62,16,16,1,1,123.77,126.31,801,801,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2024-10-07T08:00:00.202348807Z,2024-10-07T08:00:00.202180475Z,10,2,38,A,A,4,250.0,2,128,168332,277884,223.0,226.79,4,2,1,1,217.0,229.79,100,1,1,1,200.0,234.0,1,5,1,1,193.2,235.0,6,13,1,1,190.0,250.0,1,2,1,1,167.0,,2,0,1,0,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.222447600Z,2024-10-07T08:00:00.222281440Z,10,2,17709,A,B,1,124.5,100,130,166160,278069,124.87,125.62,16,16,1,1,124.5,126.31,100,801,1,1,123.77,,801,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2024-10-07T08:00:00.222467793Z,2024-10-07T08:00:00.222301461Z,10,2,17709,A,A,1,125.7,100,130,166332,278070,124.87,125.62,16,16,1,1,124.5,125.7,100,100,1,1,123.77,126.31,801,801,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2024-10-07T08:00:00.226271130Z,2024-10-07T08:00:00.226104340Z,10,2,16244,A,B,0,250.54,50,130,166790,278272,250.54,250.91,72,19,2,1,249.96,253.28,1,399,1,1,248.18,255.75,399,10,1,1,245.0,264.0,14,45,1,1,239.0,274.0,10,50,1,1,236.0,275.0,20,3,1,1,233.18,279.9,858,60,1,1,223.23,295.0,200,10,1,1,215.0,300.0,10,1,1,1,205.0,318.88,10,23,1,1,TSLA
2024-10-07T08:00:00.226290483Z,2024-10-07T08:00:00.226124095Z,10,2,16244,A,A,1,250.95,50,130,166388,278273,250.54,250.91,72,19,2,1,249.96,250.95,1,50,1,1,248.18,253.28,399,399,1,1,245.0,255.75,14,10,1,1,239.0,264.0,10,45,1,1,236.0,274.0,20,50,1,1,233.18,275.0,858,3,1,1,223.23,279.9,200,60,1,1,215.0,295.0,10,10,1,1,205.0,300.0,10,1,1,1,TSLA
2024-10-07T08:00:00.226639346Z,2024-10-07T08:00:00.226473481Z,10,2,38,A,B,0,223.95,200,130,165865,278290,223.95,226.79,200,2,1,1,223.0,229.79,4,1,1,1,217.0,234.0,100,5,1,1,200.0,235.0,1,13,1,1,193.2,250.0,6,2,1,1,190.0,,1,0,1,0,167.0,,2,0,1,0,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,AAPL
